Feature,Importance
Weight,4.660785569101543
Gender_Male,1.6279514944805062
family_history_with_overweight_yes,0.7694435261354499
FAVC_yes,0.6444653221267552
FCVC,0.6408155695246416
Age,0.5988849110528603
CALC_no,0.5578960164939295
SMOKE_yes,0.5538667267363049
CAEC_Frequently,0.5028510276606228
CAEC_Sometimes,0.4856010131390122
FAF,0.4572153662998807
MTRANS_Public_Transportation,0.44685457984803056
CALC_Frequently,0.43420357331353004
MTRANS_Walking,0.36846875320914296
NCP,0.3624609241260443
CALC_Sometimes,0.3315058636740429
MTRANS_Motorbike,0.3127526262055181
MTRANS_Bike,0.2741840641304089
CAEC_no,0.27277068696865964
TUE,0.2597182346920325
SCC_yes,0.2570464399885565
CH2O,0.22798513892862116
Height,0.0
